1st Downs (AWAY),1st Downs (HOME),3rd down efficiency (AWAY),3rd down efficiency (HOME),4th down efficiency (AWAY),4th down efficiency (HOME),Total Plays (AWAY),Total Plays (HOME),Total Yards (AWAY),Total Yards (HOME),Total Drives (AWAY),Total Drives (HOME),Yards per Play (AWAY),Yards per Play (HOME),Passing (AWAY),Passing (HOME),Comp-Att (AWAY),Comp-Att (HOME),Yards per pass (AWAY),Yards per pass (HOME),Sacks-Yards Lost (AWAY),Sacks-Yards Lost (HOME),Rushing (AWAY),Rushing (HOME),Rushing Attempts (AWAY),Rushing Attempts (HOME),Yards per rush (AWAY),Yards per rush (HOME),Red Zone (Made-Att) (AWAY),Red Zone (Made-Att) (HOME),Penalties (AWAY),Penalties (HOME),Turnovers (AWAY),Turnovers (HOME),Defensive / Special Teams TDs (AWAY),Defensive / Special Teams TDs (HOME),Possession (AWAY),Possession (HOME),Away Team Win?
28,13,0.55,0.22,0,0,71,50,482,259,10,10,6.8,5.2,341,141,0.85,0.48,10.3,5,0,6,141,118,38,22,3.7,5.4,0.6,1,36,20,2,2,0,0,0.61,0.39,16
20,15,0.38,0.33,0,0,75,64,386,257,15,13,5.1,4,276,202,0.43,0.6,5.8,4.6,10,13,110,55,27,20,4.1,2.8,0.33,0.33,22,35,4,1,0,1,0.48,0.52,-11
18,25,0.36,0.31,1,0.67,64,70,360,398,11,12,5.6,5.7,301,202,0.6,0.66,7.3,5.5,10,7,59,196,23,33,2.6,5.9,0.75,0.6,41,10,3,3,1,1,0.44,0.56,1
11,17,0.44,0.31,0,0.5,53,64,187,302,9,9,3.5,4.7,149,140,0.55,0.65,4.5,4.4,0,12,38,162,20,32,1.9,5.1,0,0,54,47,0,0,0,0,0.41,0.59,-5
14,16,0.57,0.31,0,0,58,58,203,304,11,10,3.5,5.2,32,161,0.33,0.6,1.9,6.2,11,10,171,143,41,32,4.2,4.5,1,0,20,15,2,1,0,0,0.52,0.48,3
18,23,0.42,0.6,0.5,0,58,67,307,333,10,9,5.3,5,173,189,0.66,0.45,4.8,6.3,57,6,134,144,22,37,6.1,3.9,1,0.5,65,20,2,1,0,0,0.48,0.52,-14
21,22,0.5,0.42,0,1,67,62,352,471,13,12,5.3,7.6,293,266,0.68,0.54,6.5,10.2,5,17,59,205,22,36,2.7,5.7,0.75,0.67,34,36,2,2,0,0,0.48,0.52,-3
18,23,0.29,0.36,0.67,0,63,72,284,342,10,11,4.5,4.8,155,207,0.57,0.57,3.7,5.4,13,22,129,135,21,34,6.1,4,0.5,0.2,66,30,0,1,0,0,0.48,0.52,-6
11,21,0.4,0.46,0,0,50,61,255,311,13,12,5.1,5.1,194,142,0.74,0.75,6.5,5.9,15,36,61,169,20,37,3.1,4.6,1,0.67,50,10,4,0,0,0,0.43,0.57,-25
14,22,0.29,0.09,1,1,59,70,269,402,12,13,4.6,5.7,123,205,0.5,0.61,4,6,24,8,146,197,28,36,5.2,5.5,0.33,0,35,20,1,2,0,0,0.5,0.59,-3
10,16,0.22,0.21,0.33,0,66,63,182,309,15,15,2.8,4.9,118,158,0.37,0.58,3,7.2,10,11,64,151,27,41,2.4,3.7,1,0.33,74,10,2,1,0,1,0.4,0.6,-20
21,17,0.33,0.33,1,0.5,60,57,323,291,10,9,5.4,5.1,219,188,0.68,0.63,6.3,6.5,5,17,104,103,25,28,4.2,3.7,0.4,0.5,75,35,0,2,0,0,0.46,0.54,4
