1st Downs (AWAY),1st Downs (HOME),3rd down efficiency (AWAY),3rd down efficiency (HOME),4th down efficiency (AWAY),4th down efficiency (HOME),Total Plays (AWAY),Total Plays (HOME),Total Yards (AWAY),Total Yards (HOME),Total Drives (AWAY),Total Drives (HOME),Yards per Play (AWAY),Yards per Play (HOME),Passing (AWAY),Passing (HOME),Comp-Att (AWAY),Comp-Att (HOME),Yards per pass (AWAY),Yards per pass (HOME),Sacks-Yards Lost (AWAY),Sacks-Yards Lost (HOME),Rushing (AWAY),Rushing (HOME),Rushing Attempts (AWAY),Rushing Attempts (HOME),Yards per rush (AWAY),Yards per rush (HOME),Red Zone (Made-Att) (AWAY),Red Zone (Made-Att) (HOME),Penalties (AWAY),Penalties (HOME),Turnovers (AWAY),Turnovers (HOME),Defensive / Special Teams TDs (AWAY),Defensive / Special Teams TDs (HOME),Possession (AWAY),Possession (HOME),Away Team Win?
22,20,0.36,0.45,0,0.5,69,61,339,298,9,10,4.9,4.9,213,166,0.6,0.73,5.1,6.1,9,3,126,132,27,34,4.7,3.9,0.25,0.4,50,70,0,1,0,0,0.46,0.54,-1
9,26,0.23,0.33,0,0,50,70,230,504,12,12,4.6,7.2,30,239,0.33,0.72,1.1,7.7,45,16,200,265,22,39,9.1,6.8,0.5,0.67,49,42,2,0,0,0,0.4,0.6,-31
21,22,0.25,0.22,0.5,1,66,58,307,374,12,12,4.7,6.4,190,328,0.68,0.69,4.5,7.8,32,0,117,46,24,16,4.9,2.9,1,0.8,23,31,2,2,0,0,0.55,0.45,-3
21,14,0.29,0.38,0.67,0,69,57,333,249,11,11,4.8,4.4,247,173,0.6,0.61,5.9,4.8,18,31,86,76,27,21,3.2,3.6,1,1,71,39,2,0,0,1,0.56,0.44,-2
14,26,0.25,0.57,1,0,56,61,252,394,9,8,4.5,6.5,124,177,0.63,0.79,4.3,7.4,17,0,128,217,27,37,4.7,5.9,0.5,0.8,60,20,1,1,0,1,0.47,0.53,-28
19,11,0.44,0.25,1,0,66,53,313,313,11,12,4.7,5.9,184,246,0.83,0.56,5.9,6.5,45,28,129,67,35,15,3.7,4.5,0.33,0,20,49,1,1,1,0,0.62,0.38,10
22,25,0.36,0.27,0.5,1,61,73,400,478,14,13,6.6,6.5,326,411,0.62,0.76,8.4,8.6,15,21,74,67,22,25,3.4,2.7,1,0.33,58,51,3,1,0,0,0.45,0.55,-6
16,17,0.36,0.44,0.5,0.5,53,68,301,260,10,10,5.7,3.8,155,124,0.5,0.57,6.7,4,14,19,146,136,30,37,4.9,3.7,0.33,1,20,24,0,3,0,0,0.44,0.56,14
20,13,0.33,0.35,0,0,60,67,337,277,12,13,5.6,4.1,168,193,0.76,0.57,5.4,4.2,13,18,169,84,29,21,5.8,4,1,0,30,45,2,1,1,0,0.49,0.51,28
27,29,0.5,0.4,0,0,62,66,454,500,12,11,7.3,7.6,284,365,0.63,0.68,8.1,10.7,0,0,170,135,27,32,6.3,4.2,0.67,0.5,71,49,1,2,0,0,0.52,0.53,3
20,20,0.31,0.33,0,0.5,67,71,279,346,12,11,4.2,4.9,204,148,0.5,0.62,4.1,4.5,36,35,75,198,17,38,4.4,5.2,0,0.4,10,25,3,0,0,0,0.44,0.56,-17
18,20,0.42,0.58,0.5,0,57,61,346,315,11,11,6.1,5.2,244,152,0.63,0.63,6.6,5.4,18,16,102,163,20,33,5.1,4.9,0.33,0.67,35,30,4,0,0,2,0.43,0.57,-24
12,22,0.36,0.62,0,0,48,62,277,431,10,9,5.8,7,111,239,0.58,0.77,5,7.7,21,0,166,192,26,31,6.4,6.2,0,1,22,19,1,0,0,0,0.47,0.53,-21
22,15,0.63,0.42,0,0,70,50,351,240,9,8,5,4.8,153,120,0.56,0.67,5.3,5.5,15,10,198,120,41,28,4.8,4.3,0.33,0.5,43,30,0,1,0,0,0.57,0.43,3
21,21,0.56,0.5,0,0,56,67,349,279,10,9,6.2,4.2,181,180,0.69,0.61,6.5,4.3,21,39,168,99,28,25,6,4,0.8,0.33,43,47,0,2,0,0,0.43,0.57,18
19,13,0.35,0.45,0.67,0,72,47,312,222,10,9,4.3,4.7,165,203,0.69,0.63,5,6.2,14,9,147,19,39,14,3.8,1.4,0,0,40,25,2,1,0,1,0.6,0.4,-4
12,22,0.46,0.4,0,1,54,67,222,382,11,11,4.1,5.7,136,208,0.65,0.63,4,6.5,0,16,86,174,20,35,4.3,5,0.67,0.75,30,18,1,1,0,0,0.42,0.58,-13
20,18,0.31,0.58,1,0,64,58,341,327,12,11,5.3,5.6,234,237,0.65,0.61,5.7,7.2,9,17,107,90,23,25,4.7,3.6,0.5,0.5,20,20,3,3,0,2,0.54,0.46,-12
