NO,19,0.44,0.51,0.5,0.46,0.63,0.54,0.48,0.58,0.37,0.35,0.52,0.42,0.5,0.48,0.49,0.62,0.48
ATL,1,26,17,24,19,19,18,13,21,19,20,18,18,18,21,17,20,22
ATL,2,0.38,0.3,0.57,0.33,0.43,0.64,0.4,0.5,0.45,0.27,0.22,0.4,0.3,0.56,0.36,0.45,0.4
ATL,3,0,0.5,0,0,1,0,0,0,0,0,1,0,1,0,0.25,0.5,1
ATL,4,71,56,54,55,61,56,45,67,60,60,53,55,53,69,68,61,67
ATL,5,416,261,386,333,261,289,214,406,315,291,280,332,306,320,327,298,382
ATL,6,13,10,9,11,9,8,9,13,9,12,10,9,8,10,9,10,11
ATL,7,5.9,4.7,7.1,6.1,4.3,5.2,4.8,6.1,5.2,4.8,5.3,6,5.8,4.6,4.8,4.9,5.7
ATL,8,215,171,207,131,110,121,107,239,114,153,131,165,160,89,212,166,208
ATL,9,0.61,0.65,0.65,0.37,0.56,0.93,0.62,0.71,0.52,0.63,0.65,0.6,0.54,0.5,0.67,0.73,0.63
ATL,10,6.5,5.9,9,6.6,3.7,7.6,6.7,8,4.6,4.4,6.6,6.3,6.4,3,6.1,6.1,6.5
ATL,11,0,25,22,8,37,8,17,14,15,33,0,9,7,8,6,3,16
ATL,12,201,90,179,202,151,168,107,167,201,138,149,167,146,231,115,132,174
ATL,13,38,27,31,35,31,40,29,37,35,25,33,29,28,39,33,34,35
ATL,14,5.3,3.3,5.8,5.8,4.9,4.2,3.7,4.5,5.7,5.5,4.5,5.8,5.2,5.9,3.5,3.9,5
ATL,15,0.5,0.5,0.75,0.5,1,1,1,0.33,0.5,0.5,0.67,0.5,0.5,0.67,0,0.4,0.75
ATL,16,55,29,15,15,55,40,22,64,15,37,13,20,48,30,48,70,18
ATL,17,2,3,2,1,0,0,0,2,2,1,2,1,1,1,1,1,1
ATL,18,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
ATL,19,0.56,0.49,0.47,0.4,0.51,0.56,0.45,0.61,0.53,0.43,0.41,0.45,0.45,0.52,0.55,0.54,0.58
SF,1,17,25,13,13,22,21,25,22,22,21,21,24,24,15,14,27,21
